"CODICE_ART","CODICE_ALT","DESCRIZION","UM","CODICE_CAT","CODICE_FOR","CODICE_MAR","GIACEZ_INI","ALIQ_IVA","LISTINO_1","RIC_1","LISTINO_2","RIC_2","LISTINO_3","RIC_3","DATA_ULT_C","DATA_ULT_S","ESISTENZA","ESI_COLLI","S_SCORTA","RICA","PRZ_ACQ","PRZ_AGG","PRZ_MED","NOTE","COLORE","REPARTO","PESO","PESO_MED","TARA","PZXCT","PROVV","FOTO","DATA_INS","BILANCIA","PEN_FORN","ULT_FORN","TOUCH","GRUPPO","SOTTOGRUPPO","SCO_MAX","NCOL_GIRIXLS","NCOL_NTVXLS","CAT_LEVEL_4","CAT_LEVEL_5","DATA_SCAD","TP_TAGLIA","COD_COMPATIB","NO_SCONTO","ULT_SCONTO","FLAG_VAR","PUNTI_REG","NO_PROVV","COD_PROMOZ","RIC_ACQ0","LISTINO_4","LISTINO_5","COD_EI"
"82411657","8300584753623","STROFINACCI 1.00","PZ","BIANCHERIA CASA","SCONOSCIUTO","SCONOSCIUTO",335,22,1,115.7,1,115.7,0,-100,"07/07/2026","31/08/2026",2595,-11,10,0,0.38,0,0.4418,"","","29",0,0,0,0,0,"","17/08/2017","",1,100,"T","STROFINACCI","",,0,0,"","FAMILY","","","","False",0,"True",0,"False","",0,0,3.5,""
"86172394","86172394","GREMBIULE C/E S/PETTORINA","PZ","BIANCHERIA CASA","SCONOSCIUTO","SCONOSCIUTO",0,22,1.99,126.55,1.99,126.55,0,-100,"12/07/2021","28/12/2019",-7,0,5,,0.72,0,3.4028E38,"","","1",,,,,0,"","12/02/2010","",,1,"","GREMBIULE","",,,,"","FAMILY","","","","",0,"False",,"","",,,,""
"88549620","88549620","TOVAGLIA PANAMA X12","PZ","BIANCHERIA CASA","SCONOSCIUTO","SCONOSCIUTO",0,22,3.99,120.98,3.99,120.98,0,-100,"02/12/2013","03/10/2017",3,0,5,,1.48,0,3.4028E38,"","T","1",,,,,0,"","01/12/2010","",,1,"","TOVAGLIA","X12",,,,"","FAMILY","","","","",0,"False",,"","",,,,""
"84578037","84578037","IMBOTTITURA PIC","Pz","ARREDO CASA","SCONOSCIUTO","SCONOSCIUTO",794,22,2.4,116.18,2.4,116.18,0,-100,"13/05/2026","26/08/2026",785,-9,6,0,0.91,0,1.1497,"","","6",0,0,0,0,0,"","20/02/2019","",1,100,"T","IMBOTTITURA","",,0,0,"","FAMILY","","","","False",0,"False",0,"False","",0,0,1.4,""
"8300355613996","8300355613996","COPRIMATERASSO BASSETTI 1P","PZ","BIANCHERIA LETTO","BASSETTI","BASSETTI",0,22,22.5,115.7,18.99,82.05,,,"12/12/2013","04/09/2018",7,0,4,,8.55,0,3.4028E38,"","","1",,,,,0,"","06/07/2010","",,1,"","COPRIMATERASSO","SINGOLO",,,,"","FAMILY","","","","",0,"False",,"","",,,,""
"82580124","82580124","SLIP STOCK 1.00","PZ","MUTANDERIA","SCONOSCIUTO","SCONOSCIUTO",0,22,1,115.7,1,115.7,0,-100,"22/05/2026","13/08/2026",53,0,4,,0.38,0,3.4028E38,"","","1",,,,,0,"","16/02/2010","",1,100,"","SLIP","UNISEX",,,,"","FAMILY","","","","",0,"False",,"","",,,,""
"87022223","87022223","ASCIUGAMANI ART. ASS/TI","PZ","BIANCHERIA BAGNO","SCONOSCIUTO","SCONOSCIUTO",0,22,1.8,116.97,1.8,116.97,0,-100,"18/08/2026","18/08/2026",175,-6,5,,0.68,0,0.68,"","","1",,,,,0,"","13/03/2010","",1,100,"T","ASCIUGAMANI","",,,,"SPUGNA","FAMILY","","","","",0,"False",,"","",,,,""
"88216133","88216133","CALZE LANA BAROCCO CORTO","PA","CALZE","SCONOSCIUTO","SCONOSCIUTO",0,22,1.8,116.97,1.8,116.97,0,-100,"26/08/2022","26/08/2022",33,0,6,,0.68,0,3.4028E38,"","","1",,,,,0,"","10/04/2013","",,1,"","CALZA CORTA","UNISEX",,,,"","FAMILY","","","","",0,"False",,"","",,,,""
"87928433","87928433","SLIP/TOP S.P. RIMANENZA","PZ","MUTANDERIA","SCONOSCIUTO","SCONOSCIUTO",0,22,1.99,126.55,1.99,126.55,0,-100,"25/05/2006","09/10/2018",0,0,4,,0.72,0,3.4028E38,"","","1",,,,,0,"","16/03/2012","",,,"","SLIP","DONNA",,,,"","FAMILY","","","","",,"False",,"","",,,,""
"85487598","85487598","FASCE/BRASSIERE MICROFIBRA","PZ","MAGLIERIA","SCONOSCIUTO","SCONOSCIUTO",0,22,2.99,114.98,2.99,114.98,0,-100,"30/03/2024","16/05/2023",146,0,6,,1.14,0,3.4028E38,"","","11",,,,,0,"","10/05/2010","",,1,"T","FASCIA","",,,,"","FAMILY","","","","",0,"False",,"","",,,,""
